Sim,,,,Camera reception,,,,distance,,,,,,
%time,field.data,,,%time,field.data,,,%time,field.data,,,ARUCO + DISTANCE CALCULATION,,SIM – DISTANCE 
1593025738359195947,1593025738186503173,172.692992,,1593025738359560012,1593025738359009027,0.550912,,1593025738406706094,1593025738406094074,0.61184,,47.085056,,219.590912
1593025738502912998,1593025738327166992,175.745792,,1593025738503242015,1593025738502652883,0.589056,,1593025738558917045,1593025738558270931,0.6464,,55.617792,,231.104
1593025738635000944,1593025738471142089,163.858688,,1593025738635268926,1593025738634732007,0.536832,,1593025738687721014,1593025738686721086,0.999936,,51.988992,,215.57888
1593025738779715061,1593025738600697021,179.017984,,1593025738781583070,1593025738779522895,2.060288,,1593025738831676006,1593025738831032037,0.644096,,51.509248,,230.335232
1593025738908772945,1593025738728525146,180.247808,,1593025738909022092,1593025738908570051,0.452352,,1593025738959743022,1593025738959180116,0.562688,,50.610432,,230.655232
1593025739040529012,1593025738852427978,188.100608,,1593025739040818929,1593025739040340900,0.478208,,1593025739094396114,1593025739093724966,0.671488,,53.383936,,241.296384
1593025739161887884,1593025738991980957,169.906944,,1593025739162122964,1593025739161695957,0.426752,,1593025739212169885,1593025739211230993,0.939264,,49.53472,,219.24992
1593025739303353071,1593025739127968017,175.384832,,1593025739303594112,1593025739303168058,0.425984,,1593025739354439020,1593025739353703975,0.735232,,50.535936,,225.735936
1593025739872845888,1593025739701903076,170.94272,,1593025739872833013,1593025739868391036,4.442112,,1593025739920403957,1593025739919568061,0.836096,,51.17696,,217.664768
1593025740025979995,1593025739839424072,186.55616,,1593025740027602910,1593025740025696039,1.906944,,1593025740076257944,1593025740075684070,0.573952,,49.98784,,236.25984
1593025740922719001,1593025740701226074,221.492992,,1593025740922175884,1593025740920157909,2.017536,,1593025740971441030,1593025740970741033,0.699648,,50.58304,,269.515264
1593025741067492961,1593025740883343994,184.148992,,1593025741067513942,1593025741065634012,1.880064,,1593025741115263938,1593025741114672899,0.59136,,49.038848,,231.328768
1593025741864727973,1593025741704091064,160.637184,,1593025741866359949,1593025741864125013,2.23488,,1593025741911096096,1593025741910386085,0.710144,,46.260736,,206.29504
1593025742025502920,1593025741843838134,181.664768,,1593025742027087926,1593025742025222063,1.865728,,1593025742072792053,1593025742072242021,0.550144,,47.019776,,228.403968
1593025742873140096,1593025742704023193,169.116672,,1593025742873728990,1593025742872874975,0.853504,,1593025742926508903,1593025742925955057,0.553984,,53.079808,,221.931776
1593025743037347078,1593025742856401123,180.945408,,1593025743037905931,1593025743037098884,0.806912,,1593025743093375921,1593025743092725992,0.649984,,55.627008,,236.324608
1593025743187345981,1593025742998423095,188.92288,,1593025743189069986,1593025743187216043,1.854208,,1593025743240483999,1593025743239794969,0.688896,,52.579072,,241.371904
1593025743308442115,1593025743131552001,176.889856,,1593025743309053897,1593025743308284044,0.769536,,1593025743364389896,1593025743363847017,0.54272,,55.563008,,232.295168
1593025743419362068,1593025743256901123,162.460672,,1593025743419771909,1593025743417722940,2.04928,,1593025743472227096,1593025743471582889,0.644096,,53.85984,,214.6816
1593025743552886009,1593025743361245117,191.640832,,1593025743552886009,1593025743551213026,1.67296,,1593025743609813928,1593025743609235048,0.579072,,58.021888,,247.98976
1593025743691965103,1593025743514353027,177.612288,,1593025743693073034,1593025743691137075,1.935872,,1593025743745887041,1593025743744880914,1.006336,,53.743616,,230.527744
1593025743789779901,1593025743604873046,184.907008,,1593025743789537906,1593025743783749103,5.788672,,1593025743837927103,1593025743837383031,0.543744,,53.634048,,232.510208
1593025743887928009,1593025743728569091,159.359232,,1593025743889027118,1593025743887392997,1.634304,,1593025743946928977,1593025743946116924,0.811776,,58.724096,,217.548032
1593025744009562015,1593025743854896972,154.665216,,1593025744008770942,1593025744008094072,0.676608,,1593025744073709964,1593025744073163986,0.545792,,65.07008,,218.267648
1593025744122709035,1593025743965410156,157.2992,,1593025744122522115,1593025744120615005,1.906944,,1593025744174176931,1593025744173578023,0.598784,,52.963072,,208.168192
1593025744267095088,1593025744092923095,174.17216,,1593025744266097068,1593025744263056039,3.041024,,1593025744320693969,1593025744319963932,0.729856,,56.908288,,227.04128
1593025744365926980,1593025744204748046,161.178368,,1593025744367778062,1593025744365333080,2.4448,,1593025744420166969,1593025744419558048,0.608512,,54.225152,,214.809856
1593025744483196020,1593025744322735107,160.4608,,1593025744484108924,1593025744483386993,0.72192,,1593025744536672115,1593025744536082029,0.59008,,52.69504,,213.34656
1593025744600080966,1593025744435346191,164.73472,,1593025744600117921,1593025744598694086,1.423872,,1593025744654001951,1593025744653393030,0.609024,,54.698752,,218.046976
1593025744707900047,1593025744561570068,146.330368,,1593025744708878993,1593025744708055973,0.822784,,1593025744762701034,1593025744762130022,0.571136,,54.073856,,200.560128
1593025744824711084,1593025744667880126,156.831232,,1593025744824712038,1593025744823215961,1.495808,,1593025744875363111,1593025744874701023,0.662272,,51.484928,,206.82112
1593025744931417942,1593025744789269042,142.148864,,1593025744931417942,1593025744929914951,1.502976,,1593025744987742900,1593025744987171888,0.57088,,57.25696,,197.902848
1593025745061005115,1593025744898474121,162.531072,,1593025745062505006,1593025745060493946,2.01088,,1593025745123527050,1593025745122632026,0.895232,,62.137856,,224.157952
1593025745183044910,1593025745029224121,153.820928,,1593025745183866977,1593025745183206081,0.660736,,1593025745238775014,1593025745238106012,0.669184,,54.899712,,208.88192
1593025745301352024,1593025745145015136,156.336896,,1593025745301368951,1593025745300858020,0.510976,,1593025745355905055,1593025745355315923,0.589312,,54.457856,,210.300672
1593025745425082921,1593025745271258056,153.825024,,1593025745425172090,1593025745424587965,0.58368,,1593025745480600118,1593025745479690074,0.91008,,55.101696,,208.432128
1593025745537374019,1593025745381327148,156.046848,,1593025745538353919,1593025745536672115,1.68192,,1593025745590254068,1593025745589708089,0.545792,,53.036288,,208.380928
1593025745667844057,1593025745498578125,169.26592,,1593025745667844057,1593025745664819955,3.024128,,1593025745717289924,1593025745716799974,0.489984,,51.980288,,218.22208
1593025745779485940,1593025745626791992,152.694272,,1593025745779488086,1593025745777101039,2.386944,,1593025745826847076,1593025745826225996,0.621056,,49.124864,,199.433984
1593025745905267000,1593025745753962158,151.30496,,1593025745906249046,1593025745904530048,1.71904,,1593025745957305908,1593025745956733942,0.571904,,52.204032,,202.771968
1593025746024986982,1593025745863393066,161.593856,,1593025746023931980,1593025746023164987,0.767232,,1593025746084800958,1593025746083863019,0.937472,,60.698112,,220.470016
1593025746124111890,1593025745981552978,142.558976,,1593025746125422954,1593025746123833894,1.588736,,1593025746171444892,1593025746170877933,0.566784,,47.044096,,189.325312
1593025746280375003,1593025746092758056,187.617024,,1593025746281122922,1593025746279629945,1.492736,,1593025746330529928,1593025746329849958,0.679936,,50.219776,,237.09184
1593025746382242918,1593025746212667968,169.574656,,1593025746383382081,1593025746381408929,1.973248,,1593025746435111999,1593025746434570074,0.541952,,53.161216,,221.901824
1593025746528659105,1593025746327170166,201.489152,,1593025746529360055,1593025746528835058,0.525056,,1593025746579047918,1593025746578329086,0.718848,,49.494272,,251.15904
1593025746633528947,1593025746446270996,187.258112,,1593025746633160114,1593025746632671117,0.488704,,1593025746683541059,1593025746682638883,0.902144,,49.967616,,236.368128
1593025746751547098,1593025746553562988,197.984,,1593025746752082109,1593025746750720977,1.361408,,1593025746809082984,1593025746808517932,0.564736,,57.797632,,254.955264
1593025746864712953,1593025746679672119,185.040896,,1593025746866615056,1593025746865144968,1.470208,,1593025746917473077,1593025746916878938,0.594176,,51.734016,,237.206784
1593025746980628967,1593025746784758056,195.87072,,1593025746979187965,1593025746978327989,0.859648,,1593025747030282974,1593025747029476881,0.805888,,51.1488,,244.718848
1593025747098177909,1593025746909034179,189.144064,,1593025747100296974,1593025747098500013,1.79712,,1593025747150501966,1593025747149472951,1.029376,,50.972928,,240.438784
